iter	Passed	Remaining
0	165	65864
1	181	36213
2	199	26451
3	217	21518
4	232	18369
5	248	16322
6	266	14960
7	282	13841
8	297	12918
9	312	12184
10	328	11621
11	344	11134
12	359	10687
13	372	10278
14	387	9956
15	404	9718
16	420	9476
17	435	9246
18	450	9040
19	466	8861
20	481	8697
21	497	8544
22	512	8405
23	529	8290
24	545	8189
25	561	8078
26	577	7976
27	593	7880
28	609	7794
29	624	7696
30	639	7607
31	654	7525
32	670	7460
33	685	7376
34	700	7305
35	716	7249
36	733	7193
37	749	7135
38	765	7088
39	780	7023
40	796	6973
41	811	6913
42	827	6866
43	842	6813
44	857	6767
45	873	6719
46	888	6672
47	902	6617
48	919	6583
49	933	6537
50	949	6495
51	964	6454
52	979	6414
53	994	6372
54	1010	6340
55	1024	6295
56	1039	6255
57	1055	6222
58	1071	6194
59	1087	6161
60	1101	6123
61	1117	6090
62	1132	6057
63	1148	6029
64	1164	6000
65	1179	5966
66	1195	5941
67	1209	5907
68	1225	5880
69	1241	5851
70	1258	5829
71	1273	5799
72	1288	5771
73	1304	5745
74	1319	5716
75	1335	5693
76	1350	5665
77	1365	5636
78	1379	5606
79	1394	5578
80	1409	5551
81	1425	5526
82	1439	5497
83	1454	5473
84	1469	5446
85	1484	5421
86	1500	5396
87	1515	5373
88	1529	5344
89	1544	5319
90	1559	5296
91	1575	5272
92	1590	5249
93	1605	5225
94	1620	5201
95	1635	5178
96	1650	5155
97	1664	5129
98	1679	5107
99	1696	5089
100	1710	5064
101	1725	5040
102	1740	5019
103	1756	4999
104	1773	4983
105	1789	4964
106	1804	4941
107	1819	4920
108	1834	4898
109	1850	4877
110	1864	4854
111	1879	4834
112	1895	4815
113	1909	4791
114	1923	4767
115	1937	4743
116	1952	4722
117	1967	4702
118	1984	4685
119	1999	4665
120	2013	4643
121	2027	4620
122	2042	4598
123	2055	4575
124	2069	4553
125	2085	4534
126	2101	4517
127	2117	4498
128	2131	4477
129	2145	4456
130	2159	4434
131	2174	4415
132	2189	4395
133	2205	4377
134	2219	4356
135	2234	4338
136	2248	4317
137	2263	4297
138	2277	4276
139	2291	4256
140	2307	4239
141	2322	4220
142	2337	4200
143	2353	4183
144	2368	4165
145	2383	4147
146	2399	4129
147	2413	4110
148	2428	4090
149	2442	4071
150	2458	4053
151	2472	4033
152	2487	4015
153	2502	3997
154	2518	3981
155	2534	3963
156	2548	3944
157	2562	3924
158	2576	3905
159	2590	3886
160	2604	3866
161	2619	3848
162	2634	3830
163	2650	3813
164	2664	3795
165	2679	3776
166	2695	3761
167	2710	3743
168	2725	3725
169	2739	3706
170	2752	3686
171	2767	3668
172	2783	3652
173	2799	3636
174	2814	3618
175	2829	3601
176	2844	3583
177	2859	3566
178	2874	3549
179	2889	3531
180	2903	3512
181	2917	3495
182	2932	3477
183	2948	3460
184	2961	3442
185	2975	3423
186	2991	3407
187	3005	3389
188	3019	3371
189	3034	3353
190	3050	3337
191	3064	3319
192	3079	3303
193	3094	3286
194	3109	3269
195	3124	3252
196	3140	3235
197	3155	3218
198	3171	3202
199	3185	3185
200	3198	3166
201	3212	3149
202	3227	3132
203	3243	3115
204	3257	3098
205	3272	3081
206	3288	3065
207	3302	3048
208	3316	3030
209	3332	3015
210	3346	2997
211	3362	2981
212	3376	2964
213	3390	2946
214	3405	2930
215	3419	2912
216	3435	2897
217	3450	2880
218	3465	2864
219	3481	2848
220	3495	2831
221	3510	2814
222	3524	2797
223	3537	2779
